Date,ValuePerSqft,RegionID,RegionName,SizeRank
2002-10,131,11,Connecticut,29
2002-10,72,19,Iowa,30
2002-10,43,34,Mississippi,31
2002-10,49,6,Arkansas,32
2002-10,74,23,Kansas,33
2002-10,116,55,Utah,34
2002-10,99,42,Nevada,35
2002-10,88,41,New Mexico,36
2002-10,44,61,West Virginia,37
2002-10,74,38,Nebraska,38
2002-10,78,20,Idaho,39
2002-10,205,18,Hawaii,40
2002-10,108,28,Maine,41
2002-10,117,39,New Hampshire,42
2002-10,143,50,Rhode Island,43
2002-10,118,35,Montana,44
2002-10,87,13,Delaware,45
2002-10,88,52,South Dakota,46
2002-10,115,3,Alaska,47
2002-10,,37,North Dakota,48
2002-10,199,12,District of Columbia,49
2002-10,115,62,Wyoming,50
2002-11,192,9,California,1
2002-11,63,54,Texas,2
2002-11,94,43,New York,3
2002-11,84,14,Florida,4
2002-11,117,21,Illinois,5
2002-11,77,47,Pennsylvania,6
2002-11,79,44,Ohio,7
2002-11,104,30,Michigan,8
2002-11,76,16,Georgia,9
2002-11,76,36,North Carolina,10
2002-11,139,40,New Jersey,11
2002-11,95,56,Virginia,12
2002-11,117,59,Washington,13
2002-11,181,26,Massachusetts,14
2002-11,69,22,Indiana,15
2002-11,87,8,Arizona,16
2002-11,62,53,Tennessee,17
2002-11,83,32,Missouri,18
2002-11,117,27,Maryland,19
2002-11,99,60,Wisconsin,20
2002-11,132,31,Minnesota,21
2002-11,139,10,Colorado,22
2002-11,55,4,Alabama,23
2002-11,70,51,South Carolina,24
2002-11,56,25,Louisiana,25
2002-11,71,24,Kentucky,26
2002-11,103,46,Oregon,27
2002-11,51,45,Oklahoma,28
2002-11,133,11,Connecticut,29
2002-11,73,19,Iowa,30
2002-11,43,34,Mississippi,31
2002-11,49,6,Arkansas,32
2002-11,74,23,Kansas,33
2002-11,116,55,Utah,34
2002-11,99,42,Nevada,35
2002-11,88,41,New Mexico,36
2002-11,45,61,West Virginia,37
2002-11,75,38,Nebraska,38
2002-11,78,20,Idaho,39
2002-11,207,18,Hawaii,40
2002-11,109,28,Maine,41
2002-11,118,39,New Hampshire,42
2002-11,145,50,Rhode Island,43
2002-11,119,35,Montana,44
2002-11,88,13,Delaware,45
2002-11,89,52,South Dakota,46
2002-11,116,3,Alaska,47
2002-11,,37,North Dakota,48
2002-11,203,12,District of Columbia,49
2002-11,115,62,Wyoming,50
2002-12,195,9,California,1
2002-12,64,54,Texas,2
2002-12,95,43,New York,3
2002-12,85,14,Florida,4
2002-12,118,21,Illinois,5
2002-12,77,47,Pennsylvania,6
2002-12,80,44,Ohio,7
2002-12,104,30,Michigan,8
2002-12,77,16,Georgia,9
2002-12,76,36,North Carolina,10
2002-12,141,40,New Jersey,11
2002-12,96,56,Virginia,12
2002-12,118,59,Washington,13
2002-12,183,26,Massachusetts,14
2002-12,69,22,Indiana,15
2002-12,87,8,Arizona,16
2002-12,62,53,Tennessee,17
2002-12,84,32,Missouri,18
2002-12,118,27,Maryland,19
2002-12,100,60,Wisconsin,20
2002-12,133,31,Minnesota,21
2002-12,139,10,Colorado,22
2002-12,56,4,Alabama,23
2002-12,71,51,South Carolina,24
2002-12,56,25,Louisiana,25
2002-12,71,24,Kentucky,26
2002-12,104,46,Oregon,27
2002-12,51,45,Oklahoma,28
2002-12,134,11,Connecticut,29
2002-12,73,19,Iowa,30
2002-12,44,34,Mississippi,31
2002-12,49,6,Arkansas,32
2002-12,74,23,Kansas,33
2002-12,116,55,Utah,34
2002-12,100,42,Nevada,35
2002-12,89,41,New Mexico,36
2002-12,45,61,West Virginia,37
2002-12,75,38,Nebraska,38
2002-12,79,20,Idaho,39
2002-12,210,18,Hawaii,40
2002-12,110,28,Maine,41
2002-12,120,39,New Hampshire,42
2002-12,148,50,Rhode Island,43
2002-12,120,35,Montana,44
2002-12,88,13,Delaware,45
2002-12,90,52,South Dakota,46
2002-12,116,3,Alaska,47
2002-12,,37,North Dakota,48
2002-12,206,12,District of Columbia,49
2002-12,116,62,Wyoming,50
2003-01,199,9,California,1
2003-01,64,54,Texas,2
2003-01,95,43,New York,3
2003-01,86,14,Florida,4
2003-01,119,21,Illinois,5
2003-01,78,47,Pennsylvania,6
2003-01,80,44,Ohio,7
2003-01,104,30,Michigan,8
2003-01,77,16,Georgia,9
2003-01,76,36,North Carolina,10
2003-01,144,40,New Jersey,11
2003-01,97,56,Virginia,12
2003-01,118,59,Washington,13
2003-01,185,26,Massachusetts,14
2003-01,69,22,Indiana,15
2003-01,87,8,Arizona,16
2003-01,62,53,Tennessee,17
2003-01,84,32,Missouri,18
2003-01,120,27,Maryland,19
2003-01,100,60,Wisconsin,20
2003-01,134,31,Minnesota,21
2003-01,140,10,Colorado,22
2003-01,56,4,Alabama,23
2003-01,71,51,South Carolina,24
2003-01,56,25,Louisiana,25
2003-01,72,24,Kentucky,26
2003-01,104,46,Oregon,27
2003-01,51,45,Oklahoma,28
